,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
846,2004,TOR,AL,johnsre02,OF,318000,2003,1,TOR,AL,114,412,79,121,21,2,10,52,5,3,20,67,1,20,1,4,10
561,2004,NYN,NL,piazzmi01,C,16071429,2003,1,NYN,NL,68,234,37,67,13,0,11,34,0,0,35,40,3,1,0,3,11
736,2004,SFN,NL,pierzaj01,C,3500000,2003,1,MIN,AL,137,487,63,152,35,3,11,74,3,1,24,55,12,15,2,5,13
715,2004,SEA,AL,winnra01,OF,3500000,2003,1,SEA,AL,157,600,103,177,37,4,11,75,23,5,41,108,0,8,6,5,9
477,2004,MIN,AL,mientdo01,OF,2800000,2003,1,MIN,AL,142,487,67,146,38,1,11,65,4,1,74,55,4,5,2,6,9
408,2004,KCA,AL,santibe01,C,2150000,2003,1,SFN,NL,108,401,53,112,21,2,11,56,0,1,29,69,0,2,0,2,13
779,2004,TBA,AL,fickro01,1B,800000,2003,1,ATL,NL,126,409,52,110,26,1,11,80,1,0,42,47,4,2,0,7,9
795,2004,TBA,AL,perezed01,OF,750000,2003,1,SLN,NL,105,253,47,72,16,0,11,41,5,2,29,53,1,4,1,2,7
657,2004,PIT,NL,stynech01,3B,750000,2003,1,COL,NL,138,443,71,113,31,3,11,73,3,1,48,76,1,6,3,2,8
271,2004,COL,NL,claytro01,SS,650000,2003,1,MIL,NL,146,483,49,110,16,1,11,39,5,2,49,92,10,3,4,4,25
79,2004,ATL,NL,perezed02,C,625000,2003,1,MIL,NL,107,350,26,95,17,1,11,45,0,1,17,47,3,0,6,2,16
774,2004,TBA,AL,baldero01,OF,320000,2003,1,TBA,AL,156,637,89,184,32,8,11,78,27,10,30,128,4,8,3,6,10
560,2004,NYN,NL,phillja04,C,318000,2003,1,NYN,NL,119,403,45,120,25,0,11,58,0,1,39,50,3,10,0,1,21
573,2004,NYN,NL,wiggity01,3B,316000,2003,1,NYN,NL,156,573,73,146,36,6,11,71,12,2,46,124,2,9,1,4,15
119,2004,BOS,AL,damonjo01,OF,8000000,2003,1,BOS,AL,145,608,103,166,32,6,12,67,30,6,68,74,4,2,6,6,5
193,2004,CHN,NL,ramirar01,3B,6000000,2003,1,PIT,NL,96,375,44,105,25,1,12,67,1,1,25,68,3,7,0,8,17
588,2004,OAK,AL,hattesc01,1B,2300000,2003,1,OAK,AL,147,541,63,137,34,0,12,61,0,1,66,53,0,9,3,3,14
844,2004,TOR,AL,hinsker01,3B,900000,2003,1,TOR,AL,124,449,74,109,45,3,12,63,12,2,59,104,1,1,0,5,11
