YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2000,NYN,NL,piazzmi01,C,12071429,1999,NYN,NL,141,534,100,162,25,0,40,124,2,2,51,70,11,1,0,7,27,0.361,0.575,1,0,604
2000,COL,NL,harrile01,OF,1100000,1999,COL,NL,91,158,15,47,12,0,0,13,1,1,6,6,0,0,0,0,7,0.323,0.373,0,0,164
2000,BAL,AL,amarari01,OF,500000,1999,BAL,AL,91,137,21,38,8,1,0,11,9,6,15,20,0,1,1,2,1,0.346,0.350,0,0,156
2000,KCA,AL,posesc01,OF,232500,1999,KCA,AL,86,137,27,39,3,0,0,12,6,2,21,22,1,0,1,1,3,0.375,0.307,0,0,161
2000,TBA,AL,mccraqu01,OF,1850000,1999,TBA,AL,40,148,20,37,6,1,1,18,6,5,14,23,0,1,1,1,7,0.315,0.324,0,0,165
2000,ANA,AL,palmeor01,OF,550000,1999,ANA,AL,109,317,46,88,12,1,1,23,5,5,39,30,1,6,6,3,4,0.358,0.331,0,0,372
2000,PHI,NL,sefcike01,OF,475000,1999,PHI,NL,111,209,28,58,15,3,1,11,9,4,29,24,0,1,3,0,4,0.364,0.392,0,0,242
2000,CHN,NL,johnsla03,OF,350000,1999,CHN,NL,95,335,46,87,11,6,1,21,13,3,37,20,0,0,4,1,6,0.329,0.337,0,0,377
2000,BOS,AL,lewisda01,OF,2400000,1999,BOS,AL,135,470,63,113,14,6,2,40,16,10,45,52,0,5,14,4,5,0.303,0.309,0,0,538
2000,MON,NL,guerrwi01,OF,825000,1999,MON,NL,132,315,42,92,15,7,2,31,7,6,13,38,0,2,10,0,4,0.315,0.403,0,0,340
2000,TBA,AL,guilljo01,OF,375000,1999,TBA,AL,47,168,24,41,10,0,2,13,0,0,10,36,1,7,0,1,9,0.312,0.339,0,0,187
2000,FLO,NL,dunwoto01,OF,232500,1999,FLO,NL,64,186,20,41,6,3,2,20,3,4,12,41,0,1,0,1,1,0.270,0.317,0,0,200
2000,TEX,AL,goodwto01,OF,3416667,1999,TEX,AL,109,405,63,105,12,6,3,33,39,11,40,61,0,0,7,3,7,0.319,0.341,0,0,455
2000,SFN,NL,javiest01,OF,1500000,1999,SFN,NL,112,333,49,92,15,1,3,30,13,6,29,55,4,1,7,1,4,0.329,0.354,0,0,375
2000,TEX,AL,alicelu01,OF,750000,1999,TEX,AL,68,164,33,33,10,0,3,17,2,1,28,32,0,0,3,1,4,0.311,0.317,0,0,196
2000,NYN,NL,prattto02,OF,500000,1999,NYN,NL,71,140,18,41,4,0,3,21,2,0,15,32,0,3,0,2,0,0.369,0.386,0,0,160
2000,KCA,AL,giambje01,OF,228000,1999,KCA,AL,90,288,34,82,13,1,3,34,0,0,40,67,5,3,1,4,7,0.372,0.368,0,0,341
2000,COL,NL,hamilda02,OF,3633333,1999,COL,NL,91,337,63,102,11,3,4,24,4,5,38,21,0,1,2,1,7,0.372,0.389,0,0,379
2000,NYN,NL,cedenro01,OF,2400000,1999,NYN,NL,155,453,90,142,23,4,4,36,66,17,60,100,3,3,7,2,5,0.390,0.408,0,0,528
2000,SEA,AL,huntebr02,OF,300000,1999,SEA,AL,121,484,71,112,11,5,4,34,44,5,32,80,0,1,3,7,8,0.275,0.300,0,0,527
2000,PIT,NL,brownad01,OF,285000,1999,PIT,NL,116,226,34,61,5,2,4,17,5,3,33,39,2,1,6,1,5,0.356,0.363,0,0,269
2000,OAK,AL,chrisry01,OF,221000,1999,OAK,AL,106,268,41,56,12,1,4,24,7,5,38,58,0,1,8,4,6,0.298,0.306,0,0,319
2000,ANA,AL,edmonji01,OF,4500000,1999,ANA,AL,55,204,34,51,17,2,5,23,5,4,28,45,0,0,0,1,3,0.339,0.426,0,0,233
2000,SLN,NL,daviser01,OF,4420840,1999,SLN,NL,58,191,27,49,9,2,5,30,5,4,30,49,1,1,0,1,1,0.359,0.403,0,0,224
2000,NYA,AL,curtich01,OF,2000000,1999,NYA,AL,96,195,37,51,6,0,5,24,8,4,43,35,0,3,1,3,6,0.396,0.369,0,0,245
2000,SLN,NL,dunstsh01,OF,600000,1999,SLN,NL,62,150,23,46,5,2,5,25,6,3,2,23,0,3,2,1,4,0.323,0.467,0,0,158
2000,FLO,NL,bautida01,OF,500000,1999,FLO,NL,70,205,32,59,10,1,5,24,3,0,4,30,0,1,0,1,5,0.303,0.420,0,0,211
2000,MIL,NL,beckeri01,OF,500000,1999,MIL,NL,89,139,15,35,5,2,5,16,5,0,33,38,0,0,2,0,4,0.391,0.424,0,0,174
2000,DET,AL,jeffegr01,OF,3125000,1999,DET,AL,70,205,22,41,8,0,6,18,3,4,13,11,1,4,0,3,9,0.258,0.327,0,0,226
2000,TEX,AL,mclemma01,OF,2000000,1999,TEX,AL,144,566,105,155,20,7,6,45,16,8,83,79,2,0,9,6,8,0.358,0.366,0,0,666
2000,TBA,AL,martida01,OF,2000000,1999,TBA,AL,143,514,79,146,25,5,6,66,13,6,60,76,3,5,10,5,6,0.355,0.387,0,0,597
2000,BOS,AL,buforda01,OF,1100000,1999,BOS,AL,91,297,39,72,15,2,6,38,9,2,21,74,0,2,1,3,5,0.293,0.367,0,0,324
2000,SDN,NL,vandejo02,OF,875000,1999,SDN,NL,132,246,26,67,18,0,6,41,2,1,37,59,1,2,0,3,5,0.368,0.419,0,0,289
2000,SLN,NL,braggda01,OF,750000,1999,SLN,NL,93,273,38,71,12,1,6,26,3,0,44,67,1,3,5,0,5,0.363,0.377,0,0,326
2000,SLN,NL,howarth01,OF,650000,1999,SLN,NL,98,195,16,57,10,0,6,28,1,1,17,26,0,2,0,1,3,0.353,0.436,0,0,215
2000,SFN,NL,hayesch01,OF,300000,1999,SFN,NL,95,264,33,54,9,1,6,48,3,1,33,41,0,1,0,3,8,0.292,0.314,0,0,301
2000,COL,NL,blanche01,OF,235000,1999,COL,NL,88,263,30,61,12,3,6,28,1,1,34,38,1,1,3,2,4,0.317,0.369,0,0,304
2000,CLE,AL,loftoke01,OF,7500000,1999,CLE,AL,120,465,110,140,28,6,7,39,25,6,79,84,2,6,5,5,6,0.402,0.432,0,0,562
2000,MIN,AL,lawtoma02,OF,2000000,1999,MIN,AL,118,406,58,105,18,0,7,54,26,4,57,42,7,6,0,7,11,0.353,0.355,0,0,483
2000,SFN,NL,riosar01,OF,225000,1999,SFN,NL,72,150,32,49,9,0,7,29,7,4,24,35,1,1,1,1,3,0.418,0.527,0,0,178
2000,ARI,NL,gilkebe01,OF,5250000,1999,ARI,NL,94,204,28,60,16,1,8,39,2,2,29,42,2,2,1,5,7,0.378,0.500,0,0,243
2000,CLE,AL,cordewi01,OF,2166667,1999,CLE,AL,54,194,35,58,15,0,8,32,2,0,15,37,0,6,0,2,7,0.364,0.500,0,0,217
2000,MIL,NL,ochoaal01,OF,862500,1999,MIL,NL,119,277,47,83,16,3,8,40,6,4,45,43,2,5,0,2,4,0.404,0.466,0,0,331
2000,TEX,AL,kellyro01,OF,800000,1999,TEX,AL,87,290,41,87,17,1,8,37,6,1,21,57,0,5,0,2,5,0.355,0.448,0,0,318
2000,PHI,NL,duceyro01,OF,500000,1999,PHI,NL,104,188,29,49,10,2,8,33,2,1,38,57,1,0,0,1,1,0.383,0.463,0,0,228
