YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2003,SEA,AL,wilsoda01,C,3500000,2002,SEA,AL,115,359,35,106,16,1,6,44,1,0,18,81,1,2,7,8,8,0.320,0.396,1,0,395
2003,TOR,AL,wilsoto02,C,316000,2002,TOR,AL,96,265,33,68,10,0,8,37,0,0,28,79,0,5,0,4,6,0.334,0.385,1,0,302
2003,NYN,NL,wilsova01,C,315000,2002,NYN,NL,74,163,19,40,7,0,5,26,0,1,5,32,0,8,2,0,4,0.298,0.380,1,0,178
2003,HOU,NL,zaungr01,C,1200000,2002,HOU,NL,76,185,18,41,7,1,3,24,1,0,12,36,1,2,2,1,4,0.272,0.319,1,0,203
2003,PHI,NL,abreubo01,OF,9100000,2002,PHI,NL,157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6,11,0.413,0.521,0,0,694
2003,CHN,NL,aloumo01,OF,9500000,2002,CHN,NL,132,484,50,133,23,1,15,61,8,0,47,61,4,0,0,3,15,0.337,0.419,0,0,538
2003,ANA,AL,anderga01,OF,5350000,2002,ANA,AL,158,638,93,195,56,3,29,123,6,4,30,80,11,0,0,10,11,0.332,0.539,0,0,689
2003,ARI,NL,bautida01,OF,3000000,2002,ARI,NL,40,154,22,50,5,2,6,23,4,2,11,21,2,0,0,1,4,0.367,0.500,0,0,168
2003,KCA,AL,beltrca01,OF,6000000,2002,KCA,AL,162,637,114,174,44,7,29,105,35,7,71,135,1,4,3,7,12,0.345,0.501,0,0,723
2003,KCA,AL,bergebr01,OF,304000,2002,KCA,AL,51,134,16,27,5,1,6,17,1,0,8,32,2,2,0,1,2,0.255,0.388,0,0,147
2003,HOU,NL,berkmla01,OF,3500000,2002,HOU,NL,158,578,106,169,35,2,42,128,8,4,107,118,20,4,0,3,10,0.405,0.578,0,0,712
2003,HOU,NL,biggicr01,OF,9750000,2002,HOU,NL,145,577,96,146,36,3,15,58,16,2,50,111,2,17,9,2,15,0.325,0.404,0,0,657
2003,SFN,NL,bondsba01,OF,15500000,2002,SFN,NL,143,403,117,149,31,2,46,110,9,2,198,47,68,9,0,2,4,0.582,0.799,0,0,680
2003,CLE,AL,bradlmi01,OF,314300,2002,CLE,AL,98,325,48,81,18,3,9,38,6,3,32,58,2,0,1,0,12,0.316,0.406,0,0,360
2003,ATL,NL,braggda01,OF,450000,2002,ATL,NL,109,212,34,57,15,2,3,15,5,2,24,52,0,2,1,1,4,0.346,0.401,0,0,240
2003,CIN,NL,branyru01,OF,395000,2002,CIN,NL,84,217,34,53,9,1,16,39,3,1,34,86,3,2,0,2,2,0.349,0.516,0,0,258
2003,SDN,NL,buchabr01,OF,325000,2002,MIN,AL,44,135,19,34,5,1,5,15,2,1,6,33,0,2,0,0,4,0.294,0.415,0,0,143
2003,CLE,AL,burksel01,OF,7166667,2002,CLE,AL,138,518,92,156,28,0,32,91,2,3,44,108,3,6,1,1,13,0.361,0.541,0,0,573
2003,NYN,NL,burnije01,OF,12166667,2002,NYN,NL,154,479,65,103,15,0,19,54,10,7,58,135,5,10,1,2,11,0.311,0.365,0,0,555
2003,PHI,NL,burrepa01,OF,1250000,2002,PHI,NL,157,586,96,165,39,2,37,116,1,0,89,153,9,3,0,6,16,0.376,0.544,0,0,693
2003,SEA,AL,camermi01,OF,7416667,2002,SEA,AL,158,545,84,130,26,5,25,80,31,8,79,176,3,7,4,5,8,0.338,0.442,0,0,643
2003,TOR,AL,catalfr01,OF,2200000,2002,TEX,AL,68,212,42,57,16,6,3,23,9,5,25,27,0,8,3,2,3,0.360,0.443,0,0,250
2003,NYN,NL,cedenro01,OF,4875000,2002,NYN,NL,149,511,65,133,19,2,7,41,25,4,42,92,1,2,5,2,10,0.315,0.346,0,0,563
2003,OAK,AL,chaveer01,OF,3675000,2002,OAK,AL,153,585,87,161,31,3,34,109,8,3,65,119,13,1,0,2,8,0.348,0.513,0,0,666
2003,BAL,AL,coninje01,OF,4250000,2002,BAL,AL,116,451,44,123,26,4,15,63,8,0,25,66,6,2,0,10,10,0.307,0.448,0,0,494
2003,MIL,NL,contija01,OF,300000,2002,TBA,AL,78,222,26,57,15,2,3,21,4,2,18,55,1,1,4,0,5,0.310,0.383,0,0,246
2003,MON,NL,cordewi01,OF,600000,2002,MON,NL,66,143,21,39,9,0,6,29,2,0,17,26,0,2,0,4,3,0.349,0.462,0,0,166
2003,BAL,AL,cordoma01,OF,3100000,2002,BAL,AL,131,458,55,116,25,2,18,64,1,6,47,111,3,3,2,3,17,0.324,0.434,0,0,516
2003,TBA,AL,crawfca02,OF,300000,2002,TBA,AL,63,259,23,67,11,6,2,30,9,5,9,41,0,3,6,1,0,0.284,0.371,0,0,278
2003,SFN,NL,cruzjo02,OF,2500000,2002,TOR,AL,124,466,64,114,26,5,18,70,7,1,51,106,1,0,1,4,8,0.316,0.438,0,0,523
2003,BOS,AL,damonjo01,OF,7500000,2002,BOS,AL,154,623,118,178,34,11,14,63,31,6,65,70,5,6,3,5,4,0.355,0.443,0,0,707
2003,CHA,AL,daubabr01,OF,450000,2002,BOS,AL,137,444,62,118,24,2,20,78,2,1,51,126,4,7,0,4,10,0.348,0.464,0,0,510
2003,ARI,NL,delluda01,OF,900000,2002,ARI,NL,97,229,34,56,11,2,7,29,2,4,28,55,5,1,0,3,7,0.326,0.402,0,0,266
2003,SLN,NL,drewjd01,OF,3700000,2002,SLN,NL,135,424,61,107,19,1,18,56,8,2,57,104,4,8,3,4,4,0.347,0.429,0,0,500
2003,CIN,NL,dunnad01,OF,400000,2002,CIN,NL,158,535,84,133,28,2,26,71,19,9,128,170,13,9,1,3,8,0.399,0.454,0,0,689
2003,OAK,AL,durazer01,OF,1065000,2002,ARI,NL,76,222,46,58,12,2,16,48,0,1,49,60,2,2,0,3,1,0.395,0.550,0,0,278
2003,OAK,AL,dyeje01,OF,11666667,2002,OAK,AL,131,488,74,123,27,1,24,86,2,0,52,108,2,10,0,5,15,0.333,0.459,0,0,557
2003,SLN,NL,edmonji01,OF,8333333,2002,SLN,NL,144,476,96,148,31,2,28,83,4,3,86,134,14,8,0,6,9,0.420,0.561,0,0,590
2003,FLO,NL,encarju01,OF,3450000,2002,CIN,NL,83,321,43,89,11,2,16,51,9,4,26,63,0,1,3,3,7,0.328,0.474,0,0,354
2003,ANA,AL,erstada01,OF,7250000,2002,ANA,AL,150,625,99,177,28,4,10,73,23,3,27,67,4,2,5,4,9,0.311,0.389,0,0,667
2003,TEX,AL,evereca01,OF,9150000,2002,TEX,AL,105,374,47,100,16,0,16,62,2,3,33,77,4,6,1,4,7,0.333,0.439,0,0,422
2003,ATL,NL,fickro01,OF,1000000,2002,DET,AL,148,556,66,150,36,2,17,63,0,1,46,90,4,7,0,5,17,0.331,0.433,0,0,618
2003,ARI,NL,finlest01,OF,4250000,2002,ARI,NL,150,505,82,145,24,4,25,89,16,4,65,73,7,3,1,3,10,0.369,0.499,0,0,584
2003,NYN,NL,floydcl01,OF,6500000,2002,FLO,NL,84,296,49,85,20,0,18,57,10,5,58,68,18,7,0,1,0,0.414,0.537,0,0,380
2003,ATL,NL,francma01,OF,800000,2002,ATL,NL,81,205,25,65,15,4,6,30,1,0,27,31,2,0,0,1,5,0.395,0.517,0,0,235
2003,OAK,AL,gantro01,OF,350000,2002,SDN,NL,102,309,58,81,14,1,18,59,4,6,36,59,1,2,1,5,8,0.337,0.489,0,0,354
2003,CLE,AL,garcika01,OF,900000,2002,CLE,AL,51,197,29,59,8,0,16,52,0,3,6,40,0,0,0,2,6,0.317,0.584,0,0,205
2003,BOS,AL,giambje01,OF,2000000,2002,OAK,AL,42,157,26,43,7,0,8,17,0,0,27,40,0,3,0,0,4,0.390,0.471,0,0,187
