,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
247,2001,CIN,NL,youngdm01,OF,3500000,2000,1,CIN,NL,152,548,68,166,37,6,18,88,0,3,36,80,6,3,1,5,16
97,2001,BAL,AL,anderbr01,OF,7200000,2000,1,BAL,AL,141,506,89,130,26,0,19,50,16,9,92,103,5,8,5,7,4
727,2001,SEA,AL,camermi01,OF,3416667,2000,1,SEA,AL,155,543,96,145,28,4,19,78,24,7,78,133,0,9,7,6,10
495,2001,MIN,AL,jonesja04,OF,275000,2000,1,MIN,AL,154,523,66,149,26,5,19,76,7,5,26,111,4,0,1,0,17
287,2001,COL,NL,gantro01,OF,1750000,2000,1,PHI,NL,89,343,54,87,16,2,20,38,5,4,36,73,1,1,1,3,7
466,2001,MIL,NL,hammoje01,OF,6500000,2000,1,COL,NL,122,454,94,152,24,2,20,106,14,7,44,83,4,5,2,6,11
551,2001,NYA,AL,justida01,OF,7800000,2000,2,NYA,AL,78,275,43,84,17,0,20,60,1,0,39,42,1,1,0,2,6
415,2001,KCA,AL,quinnma01,OF,280000,2000,1,KCA,AL,135,500,76,147,33,2,20,78,5,2,35,91,1,3,3,3,11
398,2001,HOU,NL,wardda01,OF,287500,2000,1,HOU,NL,119,264,36,68,10,2,20,47,0,0,15,61,2,0,0,2,6
374,2001,HOU,NL,berkmla01,OF,305000,2000,1,HOU,NL,114,353,76,105,28,1,21,67,6,2,56,73,1,1,0,7,6
141,2001,BOS,AL,daubabr01,OF,400000,2000,1,BOS,AL,142,495,55,123,32,2,21,76,1,1,44,130,2,6,0,4,6
213,2001,CHN,NL,stairma01,OF,3200000,2000,1,OAK,AL,143,476,74,108,26,0,21,81,5,2,78,122,4,1,1,6,7
894,2001,TOR,AL,stewash01,OF,2183333,2000,1,TOR,AL,136,583,107,186,43,5,21,69,20,5,37,79,1,6,1,4,12
834,2001,TBA,AL,willige02,OF,3000000,2000,1,TBA,AL,146,632,87,173,30,2,21,89,12,12,34,103,0,3,9,4,6
349,2001,FLO,NL,floydcl01,OF,5500000,2000,1,FLO,NL,121,420,75,126,30,0,22,91,24,3,50,82,5,8,0,9,4
262,2001,CLE,AL,gonzaju03,OF,10000000,2000,1,DET,AL,115,461,69,133,30,2,22,67,1,2,32,84,3,2,0,1,13
98,2001,BAL,AL,belleal01,OF,12049040,2000,1,BAL,AL,141,559,71,157,37,1,23,103,0,5,52,68,11,4,0,7,17
251,2001,CLE,AL,burksel01,OF,5666667,2000,1,SFN,NL,122,393,74,135,21,5,24,96,5,1,56,49,5,1,0,8,10
441,2001,LAN,NL,greensh01,OF,12166667,2000,1,LAN,NL,162,610,98,164,44,4,24,99,24,5,90,121,9,8,0,6,18
179,2001,CHA,AL,leeca01,OF,400000,2000,1,CHA,AL,152,572,107,172,29,2,24,92,13,4,38,94,1,3,1,5,17
888,2001,TOR,AL,mondera01,OF,11500000,2000,1,TOR,AL,96,388,78,105,22,2,24,67,22,6,32,73,0,3,0,3,8
687,2001,PIT,NL,vandejo02,OF,1850000,2000,1,PIT,NL,134,384,74,115,29,0,24,94,11,2,72,92,5,2,0,3,7
632,2001,PHI,NL,abreubo01,OF,4983000,2000,1,PHI,NL,154,576,103,182,42,10,25,79,28,8,100,116,9,1,0,3,12
3,2001,ANA,AL,erstada01,OF,3450000,2000,1,ANA,AL,157,676,121,240,39,6,25,100,28,8,64,82,9,1,2,4,8
726,2001,SEA,AL,buhneja01,OF,1850000,2000,1,SEA,AL,112,364,50,92,20,0,26,82,0,2,59,98,3,4,1,2,10
709,2001,SDN,NL,kleskry01,OF,5750000,2000,1,SDN,NL,145,494,88,140,33,2,26,92,23,7,91,81,9,1,0,4,10
793,2001,SLN,NL,lankfra01,OF,8100000,2000,1,SLN,NL,128,392,73,99,16,3,26,65,5,6,70,148,1,4,0,6,6
814,2001,TBA,AL,grievbe01,OF,2750000,2000,1,OAK,AL,158,594,92,166,40,1,27,104,3,0,73,130,2,3,0,5,32
833,2001,TBA,AL,vaughgr01,OF,8250000,2000,1,TBA,AL,127,461,83,117,27,1,28,74,8,1,80,128,3,2,0,2,10
370,2001,HOU,NL,aloumo01,OF,5250000,2000,1,HOU,NL,126,454,82,161,28,2,30,114,3,3,52,45,4,2,0,9,21
322,2001,DET,AL,higgibo02,OF,5325000,2000,1,DET,AL,154,597,104,179,44,4,30,102,15,3,74,99,6,2,2,3,5
569,2001,NYA,AL,willibe02,OF,12357143,2000,1,NYA,AL,141,537,108,165,37,6,30,121,13,5,71,84,11,5,0,3,15
458,2001,MIL,NL,burnije01,OF,5512500,2000,1,MIL,NL,161,564,91,131,29,2,31,98,6,4,99,121,10,14,0,9,12
876,2001,TOR,AL,cruzjo02,OF,2350000,2000,1,TOR,AL,162,603,91,146,32,5,31,76,15,5,71,129,3,2,2,3,11
45,2001,ARI,NL,gonzalu01,OF,4833333,2000,1,ARI,NL,162,618,106,192,47,2,31,114,2,4,78,85,6,12,2,12,12
369,2001,FLO,NL,wilsopr01,OF,1000000,2000,1,FLO,NL,161,605,94,160,35,3,31,121,36,14,55,187,1,8,0,6,11
181,2001,CHA,AL,ordonma01,OF,3750000,2000,1,CHA,AL,153,588,102,185,34,3,32,126,18,4,60,64,3,2,0,15,28
402,2001,KCA,AL,dyeje01,OF,3800000,2000,1,KCA,AL,157,601,107,193,41,2,33,118,0,1,69,99,6,3,0,6,12
142,2001,BOS,AL,evereca01,OF,7333333,2000,1,BOS,AL,137,496,82,149,32,4,34,108,11,4,52,113,5,8,0,5,4
470,2001,MIL,NL,jenkige01,OF,1187500,2000,1,MIL,NL,135,512,100,155,36,4,34,94,11,1,33,135,6,15,0,4,9
21,2001,ANA,AL,salmoti01,OF,6500000,2000,1,ANA,AL,158,568,108,165,36,2,34,97,0,2,104,139,5,6,0,2,14
0,2001,ANA,AL,anderga01,OF,4500000,2000,1,ANA,AL,159,647,92,185,40,3,35,117,7,6,24,87,5,0,1,9,21
44,2001,ARI,NL,finlest01,OF,5375000,2000,1,ARI,NL,152,539,100,151,27,5,35,96,12,6,65,87,7,8,2,9,9
672,2001,PIT,NL,gilesbr02,OF,7333333,2000,1,PIT,NL,156,559,111,176,37,7,35,123,6,0,114,69,13,7,0,8,15
73,2001,ATL,NL,jonesan01,OF,8200000,2000,1,ATL,NL,161,656,122,199,36,6,36,104,21,6,59,100,0,9,0,5,12
159,2001,BOS,AL,ramirma02,OF,13050000,2000,1,CLE,AL,118,439,92,154,34,2,38,122,1,1,86,117,9,3,0,4,9
230,2001,CIN,NL,griffke02,OF,12500000,2000,1,CIN,NL,145,520,100,141,22,3,40,118,6,4,94,117,17,9,0,8,7
785,2001,SLN,NL,edmonji01,OF,6333333,2000,1,SLN,NL,152,525,129,155,25,0,42,108,10,3,103,167,3,6,1,8,5
455,2001,LAN,NL,sheffga01,OF,9916667,2000,1,LAN,NL,141,501,105,163,24,3,43,109,4,6,101,71,7,4,0,6,13
520,2001,MON,NL,guerrvl01,OF,6000000,2000,1,MON,NL,154,571,101,197,28,11,44,123,9,10,58,74,23,8,0,4,15
385,2001,HOU,NL,hidalri01,OF,3500000,2000,1,HOU,NL,153,558,118,175,42,3,44,122,13,6,56,110,3,21,0,9,13
753,2001,SFN,NL,bondsba01,OF,10300000,2000,1,SFN,NL,143,480,129,147,28,4,49,106,11,3,117,77,22,3,0,7,6
212,2001,CHN,NL,sosasa01,OF,12500000,2000,1,CHN,NL,156,604,106,193,38,1,50,138,7,4,91,168,19,2,0,8,12
296,2001,COL,NL,maynebr01,OF,2150000,2000,1,COL,NL,117,335,36,101,21,0,6,64,1,3,47,48,13,1,4,8,12
666,2001,PIT,NL,bellde01,OF,5000000,2000,1,NYN,NL,144,546,87,145,31,1,18,69,8,4,65,125,0,6,2,3,14
