playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
plouftr01,2015,1,MIN,AL,3B,140,138,3651,101,277,11,32,,,,,
polangr01,2015,1,PIT,NL,OF,149,137,3841,260,13,8,5,,,,,
polanjo01,2015,1,MIN,AL,SS,4,3,84,3,12,2,2,,,,,
polloaj01,2015,1,ARI,NL,OF,151,143,3911,347,5,3,0,,,,,
pomerdr01,2015,1,OAK,AL,P,53,9,258,2,13,1,2,,,,,
pompeda01,2015,1,TOR,AL,OF,27,24,649,58,3,2,0,,,,,
porceri01,2015,1,BOS,AL,P,28,28,516,10,19,3,3,,,,,
poseybu01,2015,1,SFN,NL,1B,42,37,971,334,19,0,35,,,,,
poseybu01,2015,1,SFN,NL,C,106,103,2705,771,67,2,4,4,,39,22,
pradoma01,2015,1,MIA,NL,2B,11,9,213,13,20,0,4,,,,,
pradoma01,2015,1,MIA,NL,3B,124,118,3102,72,218,7,28,,,,,
preslal01,2015,1,HOU,AL,OF,6,4,102,8,0,0,0,,,,,
pressry01,2015,1,MIN,AL,P,27,0,83,0,1,0,1,,,,,
priceda01,2015,1,DET,AL,P,21,21,438,9,17,2,1,,,,,
priceda01,2015,2,TOR,AL,P,11,11,223,5,6,0,0,,,,,
pridija01,2015,1,OAK,AL,OF,4,1,57,1,0,0,0,,,,,
puigya01,2015,1,LAN,NL,OF,78,71,1914,132,6,1,0,,,,,
pujolal01,2015,1,LAA,AL,1B,95,95,2412,718,55,5,57,,,,,
pujolal01,2015,1,LAA,AL,3B,1,0,3,0,0,0,0,,,,,
putnaza01,2015,1,CHA,AL,P,49,0,146,2,8,0,0,,,,,
quackke01,2015,1,SDN,NL,P,57,0,175,1,2,0,0,,,,,
quallch01,2015,1,HOU,AL,P,60,0,148,2,7,0,1,,,,,
quintjo01,2015,1,CHA,AL,P,32,32,619,2,27,0,1,,,,,
raburry01,2015,1,CLE,AL,OF,35,24,582,43,1,1,0,,,,,
raburry01,2015,1,CLE,AL,P,1,0,2,0,0,0,0,,,,,
ramiral03,2015,1,CHA,AL,P,1,0,3,0,0,0,0,,,,,
ramiral03,2015,1,CHA,AL,SS,152,151,4049,206,462,16,105,,,,,
ramirar01,2015,1,MIL,NL,3B,74,74,1756,40,119,5,14,,,,,
ramirar01,2015,2,PIT,NL,1B,5,4,90,27,1,2,5,,,,,
ramirar01,2015,2,PIT,NL,3B,48,46,1140,22,83,5,6,,,,,
ramirer02,2015,1,TBA,AL,P,34,27,490,7,19,1,2,,,,,
ramirha01,2015,1,BOS,AL,3B,1,0,12,0,0,0,0,,,,,
ramirha01,2015,1,BOS,AL,OF,92,92,2243,120,3,4,1,,,,,
ramirjc01,2015,1,ARI,NL,P,12,0,46,1,1,0,0,,,,,
ramirjc01,2015,2,SEA,AL,P,8,0,25,0,0,0,0,,,,,
ramirjo01,2015,1,CLE,AL,2B,33,27,780,34,94,2,17,,,,,
ramirjo01,2015,1,CLE,AL,3B,13,12,312,8,23,1,3,,,,,
ramirjo01,2015,1,CLE,AL,OF,2,2,42,3,0,0,0,,,,,
ramirjo01,2015,1,CLE,AL,SS,46,43,1153,46,99,8,20,,,,,
ramirjo02,2015,1,NYA,AL,P,3,0,9,0,0,0,0,,,,,
ramirjo02,2015,2,SEA,AL,P,5,0,14,0,0,0,0,,,,,
ramirne01,2015,1,CHN,NL,P,19,0,42,0,0,0,0,,,,,
ramirno01,2015,1,BOS,AL,P,17,0,39,2,0,0,0,,,,,
ramosaj01,2015,1,MIA,NL,P,71,0,211,4,8,0,1,,,,,
ramosce01,2015,1,LAA,AL,P,65,0,157,0,5,0,0,,,,,
ramoswi01,2015,1,WAS,NL,C,125,123,3235,1026,77,6,3,3,,30,24,
ranauan01,2015,1,TEX,AL,P,4,2,46,1,1,0,0,,,,,
rasmuco01,2015,1,HOU,AL,OF,131,115,3087,235,9,5,3,,,,,
rasmuco02,2015,1,LAA,AL,P,16,1,62,1,0,0,0,,,,,
rasmuro01,2015,1,TOR,AL,P,1,0,3,0,0,0,0,,,,,
rasmuro01,2015,2,SEA,AL,P,19,0,43,0,1,0,0,,,,,
ravinjo01,2015,1,LAN,NL,P,9,0,28,1,0,0,0,,,,,
rayro02,2015,1,ARI,NL,P,23,23,383,9,15,0,1,,,,,
reaco01,2015,1,SDN,NL,P,6,6,95,1,5,1,1,,,,,
realmjt01,2015,1,MIA,NL,C,118,116,3076,836,46,6,6,11,,43,16,
rearich01,2015,1,SDN,NL,P,5,0,9,0,0,0,0,,,,,
reckean01,2015,1,NYN,NL,1B,1,1,27,9,0,0,1,,,,,
reckean01,2015,1,NYN,NL,3B,1,0,3,0,0,0,0,,,,,
reckean01,2015,1,NYN,NL,C,28,23,617,171,6,1,0,1,,10,1,
reddijo01,2015,1,OAK,AL,OF,143,134,3553,258,6,5,1,,,,,
redmoto01,2015,1,TOR,AL,P,7,1,48,0,0,0,0,,,,,
reedad01,2015,1,ARI,NL,P,38,0,122,2,2,0,1,,,,,
reedad01,2015,2,NYN,NL,P,17,0,46,1,1,0,1,,,,,
reedch01,2015,1,MIA,NL,P,2,0,12,0,3,0,0,,,,,
reedmi02,2015,1,MIL,NL,OF,3,1,33,4,0,0,0,,,,,
refsnro01,2015,1,NYA,AL,2B,15,12,318,10,41,1,7,,,,,
reimono01,2015,1,BAL,AL,OF,51,41,1098,76,4,2,0,,,,,
rendoan01,2015,1,WAS,NL,2B,59,59,1482,107,137,4,35,,,,,
rendoan01,2015,1,WAS,NL,3B,28,19,596,10,36,0,4,,,,,
reverbe01,2015,1,PHI,NL,OF,91,84,2248,198,5,0,2,,,,,
reverbe01,2015,2,TOR,AL,OF,56,56,1476,97,0,0,0,,,,,
reyesjo01,2015,1,TOR,AL,SS,69,69,1774,84,177,13,38,,,,,
reyesjo01,2015,2,COL,NL,SS,47,47,1214,63,161,3,32,,,,,
