,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
30,2002,ATL,NL,gilesma01,210000,2001,1,ATL,NL,68,244,36,64,10,2,9,31,2,5,28,37,0,0,1,0,8
79,2002,CHN,NL,girarjo01,1500000,2001,1,CHN,NL,78,229,22,58,10,1,3,25,0,1,21,50,4,0,2,1,2
261,2002,PHI,NL,glanvdo01,4000000,2001,1,PHI,NL,153,634,74,166,24,3,14,55,28,6,19,91,1,4,10,7,7
6,2002,ANA,AL,glaustr01,4000000,2001,1,ANA,AL,161,588,100,147,38,2,41,108,10,3,107,158,7,6,0,7,16
328,2002,TBA,AL,gomezch02,1000000,2001,2,TBA,AL,58,189,31,57,16,0,8,36,3,0,8,24,0,2,4,3,4
80,2002,CHN,NL,gonzaal01,4250000,2001,1,TOR,AL,154,636,79,161,25,5,17,76,18,11,43,149,0,7,7,10,16
139,2002,FLO,NL,gonzaal02,1700000,2001,1,FLO,NL,145,515,57,129,36,1,9,48,2,2,30,107,6,10,3,3,13
337,2002,TEX,AL,gonzaju03,11000000,2001,1,CLE,AL,140,532,97,173,34,1,35,140,1,0,41,94,5,6,0,16,18
19,2002,ARI,NL,gonzalu01,4333333,2001,1,ARI,NL,162,609,128,198,36,7,57,142,1,1,100,83,24,14,0,5,14
281,2002,SDN,NL,gonzawi01,350000,2001,1,SDN,NL,64,160,16,44,6,0,8,27,2,0,11,28,1,4,0,1,3
20,2002,ARI,NL,gracema01,3000000,2001,1,ARI,NL,145,476,66,142,31,2,15,78,1,0,67,36,6,4,1,5,7
68,2002,CHA,AL,graffto01,575000,2001,1,CHA,AL,74,145,23,44,9,0,2,15,4,1,16,29,0,1,4,3,4
176,2002,LAN,NL,greensh01,13416667,2001,1,LAN,NL,161,619,121,184,31,4,49,125,20,4,72,107,10,5,0,5,10
338,2002,TEX,AL,greerru01,6800000,2001,1,TEX,AL,62,245,38,67,23,0,7,29,1,2,27,32,1,1,1,5,5
329,2002,TBA,AL,grievbe01,4000000,2001,1,TBA,AL,154,542,72,143,30,2,11,72,7,1,87,159,2,8,0,2,13
96,2002,CIN,NL,griffke02,8557223,2001,1,CIN,NL,111,364,57,104,20,2,22,65,2,0,44,72,6,4,1,4,8
177,2002,LAN,NL,grissma02,5000000,2001,1,LAN,NL,135,448,56,99,17,1,21,60,7,5,16,107,0,2,0,2,12
178,2002,LAN,NL,grudzma01,5000000,2001,1,LAN,NL,133,539,83,146,21,3,13,55,4,4,28,83,0,11,3,5,9
217,2002,MON,NL,guerrvl01,8000000,2001,1,MON,NL,159,599,107,184,45,4,34,108,37,16,60,88,24,9,0,3,24
97,2002,CIN,NL,guerrwi01,850000,2001,1,CIN,NL,60,142,16,48,5,1,1,8,5,2,3,17,0,0,2,0,1
293,2002,SEA,AL,guillca01,1400000,2001,1,SEA,AL,140,456,72,118,21,4,5,53,4,1,53,89,0,1,7,6,9
21,2002,ARI,NL,guilljo01,500000,2001,1,TBA,AL,41,135,14,37,5,0,3,11,2,3,6,26,2,3,0,1,2
111,2002,CLE,AL,gutieri01,2166667,2001,1,CHN,NL,147,528,76,153,23,3,10,66,4,3,40,56,0,10,17,11,13
202,2002,MIN,AL,guzmacr01,1425000,2001,1,MIN,AL,118,493,80,149,28,14,10,51,25,8,21,78,0,5,8,0,6
46,2002,BAL,AL,hairsje02,300000,2001,1,BAL,AL,159,532,63,124,25,5,8,47,29,11,44,73,0,13,9,4,12
330,2002,TBA,AL,hallto02,210000,2001,1,TBA,AL,49,188,28,56,16,0,4,30,2,2,4,16,0,3,0,1,5
128,2002,DET,AL,haltesh01,1500000,2001,1,DET,AL,136,450,53,128,32,7,12,65,3,3,37,100,2,7,7,6,14
189,2002,MIL,NL,hammoje01,7500000,2001,1,MIL,NL,49,174,20,43,11,1,6,21,5,3,14,42,1,4,0,2,2
179,2002,LAN,NL,hanseda01,675000,2001,1,LAN,NL,92,140,13,33,10,0,2,20,0,1,32,29,5,0,0,3,3
190,2002,MIL,NL,harrile01,1100000,2001,1,NYN,NL,110,135,12,30,5,1,0,9,3,2,8,9,0,0,0,0,3
339,2002,TEX,AL,haselbi01,800000,2001,1,TEX,AL,47,130,12,37,6,0,3,25,0,1,8,27,0,1,1,0,5
250,2002,OAK,AL,hattesc01,900000,2001,1,BOS,AL,94,278,34,68,19,0,3,25,1,1,33,26,0,4,0,1,7
31,2002,ATL,NL,helmswe01,250000,2001,1,ATL,NL,100,216,28,48,10,3,10,36,1,1,21,56,2,1,0,1,3
117,2002,COL,NL,heltoto01,5000000,2001,1,COL,NL,159,587,132,197,54,2,49,146,7,5,98,104,15,5,1,5,14
